Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
"255","Belgium","6646","Forest land","5110","Area","1000 ha",,,,,,,,,,,"667.300000","669.557000","671.814000","674.071000","676.328000","678.585000","680.842000","683.099000","685.356000","687.613000","689.870000","689.756000","689.642000","689.528000","689.414000","689.300000","689.300000","689.300000","689.300000","689.300000","689.300000"
"255","Belgium","6646","Forest land","71952","Implied emission factor for CO2","tonnes CO2/ha",,,,,,,,,,,"-7.768200","-4.673900","-4.673900","-4.673900","-4.673900","-4.673900","-4.673900","-4.673900","-4.673900","-4.673900","-4.673900","-7.074900","-7.074900","-7.074900","-7.074900","-7.074900","0.000000","0.000000","0.000000","0.000000","0.000000"
"255","Belgium","6646","Forest land","72332","Net emissions/removals (CO2) (Forest land)","gigagrams",,,,,,,,,,,"-5183.703400","-3224.371500","-3224.371500","-3224.371500","-3224.371500","-3224.371500","-3224.371500","-3224.371500","-3224.371500","-3224.371500","-3224.371500","-4876.709900","-4876.709900","-4876.709900","-4876.709900","-4876.709900","0.000000","0.000000","0.000000","0.000000","0.000000"
"255","Belgium","6646","Forest land","72172","Net emissions/removal (CO2eq) (Forest land)","gigagrams",,,,,,,,,,,"-5183.703400","-3224.371500","-3224.371500","-3224.371500","-3224.371500","-3224.371500","-3224.371500","-3224.371500","-3224.371500","-3224.371500","-3224.371500","-4876.709900","-4876.709900","-4876.709900","-4876.709900","-4876.709900","0.000000","0.000000","0.000000","0.000000","0.000000"
"255","Belgium","6750","Net Forest conversion","5110","Area","1000 ha",,,,,,,,,,,"3.840000","0.153000","0.153000","0.153000","0.153000","0.153000","0.153000","0.153000","0.153000","0.153000","0.153000","6.480000","6.480000","6.480000","6.480000","6.480000","0.000000","0.000000","0.000000","0.000000","0.000000"
"255","Belgium","6750","Net Forest conversion","71952","Implied emission factor for CO2","tonnes CO2/ha",,,,,,,,,,,"261.616700","328.203300","328.203300","328.203300","328.203300","328.203300","328.203300","328.203300","328.203300","328.203300","328.203300","363.476700","363.476700","363.476700","363.476700","363.476700","0.000000","0.000000","0.000000","0.000000","0.000000"
"255","Belgium","6750","Net Forest conversion","72332","Net emissions/removals (CO2) (Forest land)","gigagrams",,,,,,,,,,,"1004.608000","50.215100","50.215100","50.215100","50.215100","50.215100","50.215100","50.215100","50.215100","50.215100","50.215100","2355.328800","2355.328800","2355.328800","2355.328800","2355.328800","0.000000","0.000000","0.000000","0.000000","0.000000"
"255","Belgium","6750","Net Forest conversion","72172","Net emissions/removal (CO2eq) (Forest land)","gigagrams",,,,,,,,,,,"1004.608000","50.215100","50.215100","50.215100","50.215100","50.215100","50.215100","50.215100","50.215100","50.215100","50.215100","2355.328800","2355.328800","2355.328800","2355.328800","2355.328800","0.000000","0.000000","0.000000","0.000000","0.000000"
"255","Belgium","6749","Forest land (total)","72332","Net emissions/removals (CO2) (Forest land)","gigagrams",,,,,,,,,,,"-4179.095400","-3174.156400","-3174.156400","-3174.156400","-3174.156400","-3174.156400","-3174.156400","-3174.156400","-3174.156400","-3174.156400","-3174.156400","-2521.381100","-2521.381100","-2521.381100","-2521.381100","-2521.381100","0.000000","0.000000","0.000000","0.000000","0.000000"
"255","Belgium","6749","Forest land (total)","72172","Net emissions/removal (CO2eq) (Forest land)","gigagrams",,,,,,,,,,,"-4179.095400","-3174.156400","-3174.156400","-3174.156400","-3174.156400","-3174.156400","-3174.156400","-3174.156400","-3174.156400","-3174.156400","-3174.156400","-2521.381100","-2521.381100","-2521.381100","-2521.381100","-2521.381100","0.000000","0.000000","0.000000","0.000000","0.000000"
"15","Belgium-Luxembourg","6646","Forest land","5110","Area","1000 ha","763.200000","762.280000","761.360000","760.440000","759.520000","758.600000","757.680000","756.760000","755.840000","754.920000",,,,,,,,,,,,,,,,,,,,,
"15","Belgium-Luxembourg","6646","Forest land","72332","Net emissions/removals (CO2) (Forest land)","gigagrams","-5741.164000","-5741.164000","-5741.164000","-5741.164000","-5741.164000","-5741.164000","-5741.164000","-5741.164000","-5741.164000","-5741.164000",,,,,,,,,,,,,,,,,,,,,
"15","Belgium-Luxembourg","6646","Forest land","72172","Net emissions/removal (CO2eq) (Forest land)","gigagrams","-5741.164000","-5741.164000","-5741.164000","-5741.164000","-5741.164000","-5741.164000","-5741.164000","-5741.164000","-5741.164000","-5741.164000",,,,,,,,,,,,,,,,,,,,,
"15","Belgium-Luxembourg","6750","Net Forest conversion","5110","Area","1000 ha","3.850000","3.850000","3.850000","3.850000","3.850000","3.850000","3.850000","3.850000","3.850000","3.850000",,,,,,,,,,,,,,,,,,,,,
"15","Belgium-Luxembourg","6750","Net Forest conversion","72332","Net emissions/removals (CO2) (Forest land)","gigagrams","1006.915100","1006.915100","1006.915100","1006.915100","1006.915100","1006.915100","1006.915100","1006.915100","1006.915100","1006.915100",,,,,,,,,,,,,,,,,,,,,
"15","Belgium-Luxembourg","6750","Net Forest conversion","72172","Net emissions/removal (CO2eq) (Forest land)","gigagrams","1006.915100","1006.915100","1006.915100","1006.915100","1006.915100","1006.915100","1006.915100","1006.915100","1006.915100","1006.915100",,,,,,,,,,,,,,,,,,,,,
"15","Belgium-Luxembourg","6749","Forest land (total)","72332","Net emissions/removals (CO2) (Forest land)","gigagrams","-4734.248900","-4734.248900","-4734.248900","-4734.248900","-4734.248900","-4734.248900","-4734.248900","-4734.248900","-4734.248900","-4734.248900",,,,,,,,,,,,,,,,,,,,,
"15","Belgium-Luxembourg","6749","Forest land (total)","72172","Net emissions/removal (CO2eq) (Forest land)","gigagrams","-4734.248900","-4734.248900","-4734.248900","-4734.248900","-4734.248900","-4734.248900","-4734.248900","-4734.248900","-4734.248900","-4734.248900",,,,,,,,,,,,,,,,,,,,,
"23","Belize","6646","Forest land","5110","Area","1000 ha","1600.030000","1585.957000","1571.884000","1557.811000","1543.738000","1529.665000","1515.592000","1501.519000","1487.446000","1473.373000","1459.300000","1452.509000","1445.718000","1438.927000","1432.136000","1425.345000","1418.554000","1411.763000","1404.972000","1398.181000","1391.390000","1379.678000","1367.966000","1356.254000","1344.542000","1332.830000","1321.674000","1310.518000","1299.362000","1288.206000","1277.050000"
"23","Belize","6646","Forest land","71952","Implied emission factor for CO2","tonnes CO2/ha","-0.003400","-0.003400","-0.003400","-0.003400","-0.003400","-0.003400","-0.003400","-0.003400","-0.003400","-0.003400","-0.003400","-0.003600","-0.003600","-0.003600","-0.003600","-0.003600","-0.003600","-0.003600","-0.003600","-0.003600","-0.003600","-0.003400","-0.003400","-0.003400","-0.003400","-0.003400","-0.004200","-0.004200","-0.004200","-0.004200","-0.004200"
"23","Belize","6646","Forest land","72332","Net emissions/removals (CO2) (Forest land)","gigagrams","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.510000","-4.510000","-4.510000","-4.510000","-4.510000","-5.412000","-5.412000","-5.412000","-5.412000","-5.412000"
"23","Belize","6646","Forest land","72172","Net emissions/removal (CO2eq) (Forest land)","gigagrams","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.961000","-4.510000","-4.510000","-4.510000","-4.510000","-4.510000","-5.412000","-5.412000","-5.412000","-5.412000","-5.412000"
"23","Belize","6750","Net Forest conversion","5110","Area","1000 ha","14.084000","14.084000","14.084000","14.084000","14.084000","14.084000","14.084000","14.084000","14.084000","14.084000","14.084000","6.802000","6.802000","6.802000","6.802000","6.802000","6.802000","6.802000","6.802000","6.802000","6.802000","11.722000","11.722000","11.722000","11.722000","11.722000","11.168000","11.168000","11.168000","11.168000","11.168000"
"23","Belize","6750","Net Forest conversion","71952","Implied emission factor for CO2","tonnes CO2/ha","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000","451.000000"
"23","Belize","6750","Net Forest conversion","72332","Net emissions/removals (CO2) (Forest land)","gigagrams","6351.884000","6351.884000","6351.884000","6351.884000","6351.884000","6351.884000","6351.884000","6351.884000","6351.884000","6351.884000","6351.884000","3067.702000","3067.702000","3067.702000","3067.702000","3067.702000","3067.702000","3067.702000","3067.702000","3067.702000","3067.702000","5286.622000","5286.622000","5286.622000","5286.622000","5286.622000","5036.768000","5036.768000","5036.768000","5036.768000","5036.768000"
